Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr1,11.82,3.921,GNB1,ENSG00000078369.18_4
chr6,33.119,3.921,H4C5,ENSG00000276966.2_3
chr7,24.488,3.919,CALU,ENSG00000128595.17_6
chr6,15.469,3.919,H4C4,ENSG00000277157.1_3
chr6,28.718,3.916,TXNDC5,ENSG00000239264.9_5
chr5,69.455,3.915,CANX,ENSG00000127022.15_7
chr19,35.211,3.912,RPL18,ENSG00000063177.13_6
chr5,6.295,3.909,PCDHGB7|PCDHGA1|PCDHGA8|PCDHGB4|PCDHGA12|PCDHGA11|PCDHGB3|PCDHGC4|PCDHGC3|PCDHGA7|PCDHGA3|PCDHGA10|PCDHGB1|PCDHGA6|PCDHGC5|PCDHGA9|PCDHGB6|PCDHGB2|PCDHGA4|PCDHGA2|PCDHGA5|PCDHGB5,ENSG00000261934.2_3||ENSG00000204956.5_3||ENSG00000253767.2_4||ENSG00000254221.2_3||ENSG00000253731.2_4||ENSG00000253846.2_3||ENSG00000253159.3_4||ENSG00000081853.15_4||ENSG00000262576.3_4||ENSG00000254122.2_3||ENSG00000253873.6_6||ENSG00000242419.5_4||ENSG00000253537.3_5||ENSG00000253485.2_4||ENSG00000240764.3_3||ENSG00000262209.3_5||ENSG00000253910.2_4||ENSG00000253305.2_3||ENSG00000254245.2_3||ENSG00000276547.1_3||ENSG00000240184.7_5||ENSG00000253953.2_4
chr12,6.057,3.906,TMEM19,ENSG00000139291.14_5
chr4,3.105,3.904,TENM3,ENSG00000218336.9_6
chr8,3.952,3.904,TNFRSF10D,ENSG00000173530.6_4
chr3,18.408,3.902,GPX1,ENSG00000233276.5_7
chr12,4.682,3.901,TUBA1C,ENSG00000167553.15_3
chrX,7.099,3.901,TSPAN6,ENSG00000000003.15_4
chr20,5.257,3.898,STAU1,ENSG00000124214.19_5
chr1,6.212,3.896,,
chr1,3.607,3.896,SFT2D2,ENSG00000213064.10_3
chr18,3.607,3.896,NPC1,ENSG00000141458.13_5
chr11,39.947,3.893,AC024293.1,ENSG00000244313.3_5
chr10,7.483,3.892,FAM171A1,ENSG00000148468.17_4
chr2,14.494,3.891,FAM168B,ENSG00000152102.18_4
chr1,22.535,3.89,DHCR24,ENSG00000116133.13_5
chr8,4.299,3.885,IMPAD1,ENSG00000104331.9_6
chr11,9.376,3.885,DHCR7,ENSG00000172893.15_6
chr11,4.299,3.885,ALG8,ENSG00000159063.13_6
chr8,3.029,3.885,EXTL3,ENSG00000012232.9_3
chr5,84.703,3.883,CANX,ENSG00000127022.15_7
chr12,12.514,3.883,CCT2,ENSG00000166226.13_3
chr8,7.639,3.883,SLC39A14,ENSG00000104635.14_6
chr15,4.263,3.88,ADAM10,ENSG00000137845.15_5
chr16,11.482,3.879,AC093525.2|ATP6V0C,ENSG00000185883.12_4||ENSG00000260272.1_6
chr22,11.229,3.877,DGCR2,ENSG00000070413.20_6
chr8,6.295,3.876,TNFRSF10D,ENSG00000173530.6_4
chr7,6.774,3.874,KDELR2,ENSG00000136240.10_5
chr6,20.213,3.872,H2AC12,ENSG00000274997.1_3
chr19,7.12,3.872,AKT1S1,ENSG00000204673.10_5
chr8,10.933,3.87,LAPTM4B,ENSG00000104341.17_5
chr1,45.437,3.869,ATP1A1,ENSG00000163399.16_4
chr5,6.879,3.869,,
chr15,49.184,3.867,RPLP1,ENSG00000137818.12_3
chr13,5.703,3.867,B3GLCT,ENSG00000187676.8_4
chr12,38.245,3.863,TMBIM6,ENSG00000139644.13_8
chr18,5.117,3.861,NPC1,ENSG00000141458.13_5
chr5,31.664,3.86,MFAP3,ENSG00000037749.12_4
chr5,400.0,3.86,RACK1,ENSG00000204628.12_7
chr5,4.924,3.859,ANXA6,ENSG00000197043.14_4
chr20,13.972,3.859,RPS15AP1,ENSG00000214535.3_2
chr3,31.063,3.858,CTNNB1,ENSG00000168036.18_8
chr11,18.113,3.858,NDUFC2|NDUFC2-KCTD14,ENSG00000151366.13_6||ENSG00000259112.2_4
chr1,5.87,3.858,ATP2B4,ENSG00000058668.14_4
chr5,4.592,3.855,GM2A,ENSG00000196743.9_4
chr21,8.446,3.851,GET1,ENSG00000182093.16_6
chr22,3.105,3.851,POLDIP3,ENSG00000100227.18_5
chr8,5.712,3.849,SLC39A14,ENSG00000104635.14_6
chr22,6.234,3.846,AL080243.4,ENSG00000237214.3_6
chr21,3.029,3.846,RCAN1,ENSG00000159200.18_4
chr6,3.607,3.846,IFNGR1,ENSG00000027697.14_7
chr6,8.804,3.846,EZR,ENSG00000092820.18_5
chr22,3.394,3.846,HDHD5,ENSG00000069998.12_5
chr8,8.212,3.846,TNFRSF10B,ENSG00000120889.13_4
chr14,6.952,3.846,ANGEL1,ENSG00000013523.10_6
chr1,27.18,3.845,GAS5,ENSG00000234741.8_8
chrM,400.0,3.845,MT-TV,ENSG00000210077.1
chr17,19.086,3.844,RPL13P12,ENSG00000215030.5_4
chr3,5.87,3.841,TMEM43,ENSG00000170876.7_3
chr11,11.82,3.84,DHCR7,ENSG00000172893.15_6
chr14,6.879,3.839,GNPNAT1,ENSG00000100522.10_6
chr19,48.37,3.838,RPS16,ENSG00000105193.9_4
chr19,8.976,3.838,UBL5,ENSG00000198258.10_2
chr8,67.415,3.837,RPL30,ENSG00000156482.11_4
chr19,15.156,3.836,KDELR1,ENSG00000105438.9_5
chr10,8.549,3.835,PSAP,ENSG00000197746.14_5
chr16,4.518,3.832,GDE1,ENSG00000006007.12_4
chr3,21.114,3.832,CTNNB1,ENSG00000168036.18_8
chr1,8.677,3.832,SLC2A1,ENSG00000117394.23_7
chr14,3.952,3.832,EIF3LP1,ENSG00000258501.1_4
chr20,5.257,3.832,BLCAP,ENSG00000166619.15_8
chr14,15.496,3.828,PSEN1,ENSG00000080815.19_6
chr6,3.394,3.826,SSR1,ENSG00000124783.14_6
chr1,9.905,3.826,GALNT2,ENSG00000143641.10_3
chr12,10.432,3.824,ATP5F1B,ENSG00000110955.9_8
chr11,26.952,3.824,APLP2,ENSG00000084234.17_5
chr1,4.299,3.822,ATP8B2,ENSG00000143515.18_5
chr16,29.331,3.82,TUFM,ENSG00000178952.11_5
chr10,13.725,3.82,PSAP,ENSG00000197746.14_5
chr11,9.846,3.817,EXT2,ENSG00000151348.14_4
chr22,7.877,3.816,POLDIP3,ENSG00000100227.18_5
chr5,400.0,3.815,CANX,ENSG00000127022.15_7
chr20,11.679,3.813,APMAP,ENSG00000101474.12_5
chr13,3.607,3.811,FREM2,ENSG00000150893.11_3
chr3,14.563,3.811,CTNNB1,ENSG00000168036.18_8
chr8,3.323,3.811,SARAF,ENSG00000133872.14_9
chr11,11.621,3.811,EXT2,ENSG00000151348.14_4
chr22,10.809,3.811,MYH9,ENSG00000100345.21_4
chr10,5.306,3.811,YME1L1,ENSG00000136758.18_4
chr1,8.01,3.811,MANEAL,ENSG00000185090.14_3
chr1,6.005,3.811,LRRC47,ENSG00000130764.10_4
chr19,4.998,3.811,NDUFA11,ENSG00000174886.13_6
chr20,12.885,3.809,APMAP,ENSG00000101474.12_5
chr2,7.877,3.809,LAPTM4A,ENSG00000068697.7_4
chr3,44.559,3.809,CDV3,ENSG00000091527.15_3
chr19,22.256,3.807,BSG,ENSG00000172270.20_6
chr20,3.029,3.805,STAU1,ENSG00000124214.19_5
chr4,5.117,3.805,ELMOD2,ENSG00000179387.10_6
chr5,3.015,3.804,ARL10,ENSG00000175414.7_4
chr1,5.257,3.804,SOAT1,ENSG00000057252.13_3
chr19,9.553,3.804,AP2S1,ENSG00000042753.11_3
chr19,9.807,3.799,MYDGF,ENSG00000074842.8_6
chr11,13.688,3.799,STT3A,ENSG00000134910.14_6
chr16,6.005,3.797,SLC7A5,ENSG00000103257.9_4
chr6,12.308,3.797,FUCA2,ENSG00000001036.14_4
chr10,34.902,3.794,TM9SF3,ENSG00000077147.16_7
chr2,3.105,3.793,MGAT5,ENSG00000152127.9_4
chr5,6.879,3.793,GNPDA1,ENSG00000113552.16_7
chr19,3.607,3.793,CNN2,ENSG00000064666.15_6
chr14,4.217,3.793,AL136295.1|TM9SF1,ENSG00000254692.1_9||ENSG00000100926.15_8
chr4,3.739,3.793,TECRP2,ENSG00000248565.2_5
chr5,7.226,3.792,HMGCR,ENSG00000113161.16_4
chr9,8.331,3.791,SIGMAR1,ENSG00000147955.17_4
chr20,9.807,3.79,POFUT1,ENSG00000101346.14_4
chr1,13.131,3.787,SLC16A1,ENSG00000155380.11_8
chr13,3.264,3.784,ABCC4,ENSG00000125257.16_7
chr15,5.931,3.784,EDC3,ENSG00000179151.13_7
chr7,14.563,3.783,CALU,ENSG00000128595.17_6
chr2,4.818,3.78,PCYOX1,ENSG00000116005.12_6
chr14,21.359,3.779,RDH11,ENSG00000072042.13_6
chr11,4.924,3.779,TUBAP2,ENSG00000214391.3_4
chr3,11.101,3.779,TFRC,ENSG00000072274.13_5
chr8,7.639,3.778,TNFRSF10B,ENSG00000120889.13_4
chr5,6.005,3.774,MRPS30,ENSG00000112996.11_4
chr3,5.257,3.774,TATDN2,ENSG00000157014.11_4
chr19,4.962,3.774,MAN2B1,ENSG00000104774.13_5
chrX,3.04,3.774,TSPAN6,ENSG00000000003.15_4
chr19,400.0,3.77,RPS16,ENSG00000105193.9_4
chr1,26.137,3.77,CLSTN1,ENSG00000171603.18_4
chr12,9.565,3.77,CKAP4,ENSG00000136026.14_6
chr6,23.419,3.768,TXNDC5,ENSG00000239264.9_5
chr11,9.225,3.766,FADS1,ENSG00000149485.19_5
chr6,6.879,3.766,TCP1,ENSG00000120438.12_5
chr12,3.323,3.765,ERC1,ENSG00000082805.20_7
chr17,4.648,3.765,TOB1,ENSG00000141232.5_5
chr12,4.308,3.765,CNTN1,ENSG00000018236.15_6
chr15,28.459,3.764,RPL4,ENSG00000174444.15_5
chr6,17.531,3.763,TMEM30A,ENSG00000112697.17_5
chr1,9.225,3.763,RCC2,ENSG00000179051.14_5
chr16,3.952,3.762,ZNF771,ENSG00000179965.12_3
chr1,3.105,3.762,B3GALT6,ENSG00000176022.7_7
chr19,6.177,3.762,PLD3,ENSG00000105223.20_4
chr12,17.247,3.761,ATP2A2,ENSG00000174437.17_5
chrX,4.299,3.761,USP9X,ENSG00000124486.13_5
chr6,3.938,3.761,,
chr8,7.362,3.761,PTDSS1,ENSG00000156471.13_3
chr14,8.886,3.761,NPC2,ENSG00000119655.10_5
chr14,12.158,3.753,NPC2,ENSG00000119655.10_5
chr17,24.657,3.753,P4HB,ENSG00000185624.15_4
chr1,13.642,3.752,PRDX1,ENSG00000117450.14_5
chr20,3.952,3.752,SLC23A2,ENSG00000089057.15_6
chr2,6.952,3.752,SLC35F6,ENSG00000213699.9_4
chr17,3.394,3.75,TMEM104,ENSG00000109066.14_3
chr14,11.482,3.75,PSMB5,ENSG00000100804.19_5
chr2,3.264,3.748,FZD5,ENSG00000163251.4_4
chr13,14.914,3.746,TM9SF2,ENSG00000125304.10_5
chr3,16.693,3.745,TFRC,ENSG00000072274.13_5
chr1,5.87,3.744,GALNT2,ENSG00000143641.10_3
chr8,5.87,3.744,DERL1,ENSG00000136986.10_4
chr19,27.163,3.743,RPL18,ENSG00000063177.13_6
chrX,13.714,3.743,BCAP31,ENSG00000185825.17_6
chr7,15.58,3.743,PDIA4,ENSG00000155660.11_7
chr21,12.885,3.74,PTTG1IP,ENSG00000183255.12_5
chr17,15.159,3.738,RPS18P12,ENSG00000230897.1_4
chr17,13.227,3.738,USP22,ENSG00000124422.12_6
chr2,3.283,3.737,ACSL3,ENSG00000123983.14_3
chr17,4.217,3.735,CLTC,ENSG00000141367.12_5
chr16,4.217,3.735,HSBP1,ENSG00000230989.7_3
chr20,7.211,3.735,PIGT,ENSG00000124155.18_7
chr1,6.005,3.735,NOTCH2,ENSG00000134250.20_5
chr7,3.607,3.735,TSPAN13,ENSG00000106537.8_3
chr3,4.217,3.735,RBM15B,ENSG00000259956.2_3
chr7,8.307,3.735,KDELR2,ENSG00000136240.10_5
chr19,10.726,3.735,MYDGF,ENSG00000074842.8_6
chr11,3.607,3.735,TPP1,ENSG00000166340.17_6
chr5,400.0,3.732,CANX,ENSG00000127022.15_7
chr11,13.688,3.732,STT3A,ENSG00000134910.14_6
chr16,16.936,3.732,AC093512.2|ALDOA,ENSG00000285043.1_2||ENSG00000149925.20_7
chr19,57.742,3.731,RPS16,ENSG00000105193.9_4
chr16,7.387,3.731,HERPUD1,ENSG00000051108.15_7
chr21,14.718,3.729,APP,ENSG00000142192.21_7
chr3,16.955,3.729,CLDND1,ENSG00000080822.17_7
chr12,14.006,3.729,ESYT1,ENSG00000139641.12_3
chr15,55.616,3.728,RPLP1,ENSG00000137818.12_3
chrX,10.432,3.727,ATP6AP1,ENSG00000071553.17_5
chr18,10.812,3.727,RPL6P27,ENSG00000235552.4_5
chr7,18.267,3.725,PDIA4,ENSG00000155660.11_7
chr12,5.791,3.724,TMED2,ENSG00000086598.11_3
chr14,6.485,3.724,RPS19P3,ENSG00000240463.1_4
chr3,13.394,3.723,SRPRB,ENSG00000144867.12_5
chr5,75.675,3.721,RACK1,ENSG00000204628.12_7
chr12,10.525,3.721,NEMP1,ENSG00000166881.10_7
chr17,9.553,3.718,ATP6V0A1,ENSG00000033627.16_4
chr6,7.295,3.718,TMEM30A,ENSG00000112697.17_5
chr15,7.529,3.717,IGF1R,ENSG00000140443.15_6
chr17,69.448,3.717,RPS7P1,ENSG00000263266.2_2
chr6,29.215,3.716,TXNDC5,ENSG00000239264.9_5
chr9,4.299,3.715,TMEM38B,ENSG00000095209.12_7
chr17,3.029,3.715,RPA1,ENSG00000132383.12_3
chr3,5.117,3.715,DAG1,ENSG00000173402.12_7
chr12,5.564,3.715,BRI3BP,ENSG00000184992.13_6
chr12,6.168,3.712,AC125807.2,ENSG00000250899.3_6
chr2,15.762,3.712,ATP5MC3,ENSG00000154518.9_4
chr6,14.043,3.712,CD164,ENSG00000135535.17_6
chr16,5.257,3.711,UBFD1,ENSG00000103353.16_5
chr10,18.125,3.711,PSAP,ENSG00000197746.14_5
chr15,64.863,3.709,RPLP1,ENSG00000137818.12_3
chr11,21.836,3.709,RPS13,ENSG00000110700.7_5
chr1,7.017,3.709,MRPL37,ENSG00000116221.15_2
chr4,3.952,3.708,TMEM165,ENSG00000134851.13_4
chr17,8.01,3.708,MED13,ENSG00000108510.10_5
chr7,4.263,3.708,URGCP-MRPS24|MRPS24,ENSG00000062582.14_5||ENSG00000270617.1_5
chr8,6.485,3.706,DERL1,ENSG00000136986.10_4
chr3,6.61,3.704,RFT1,ENSG00000163933.10_7
chr14,5.564,3.704,CNIH1,ENSG00000100528.12_5
chr1,10.139,3.702,PSMB4,ENSG00000159377.11_3
chr3,11.903,3.7,RHOA,ENSG00000067560.12_6
chr3,4.098,3.7,DVL3,ENSG00000161202.20_5
chr12,37.163,3.698,TMBIM6,ENSG00000139644.13_8
chr7,6.27,3.696,PSMA2,ENSG00000106588.11_5
chr1,6.27,3.696,EMC1,ENSG00000127463.15_8
chr20,12.514,3.695,SNRPB,ENSG00000125835.18_5
chr12,22.243,3.695,CCT2,ENSG00000166226.13_3
chr1,7.515,3.694,DHCR24,ENSG00000116133.13_5
chr7,10.428,3.694,CPVL,ENSG00000106066.15_5
chr7,6.362,3.694,ANLN,ENSG00000011426.11_7
chr12,31.971,3.693,RPL18AP3,ENSG00000213442.5_4
chr1,8.385,3.692,NAXE,ENSG00000163382.12_4
chr8,3.952,3.69,FGFR1,ENSG00000077782.20_6
chr20,7.226,3.69,DIDO1,ENSG00000101191.17_4
chr5,15.453,3.689,FAF2,ENSG00000113194.13_4
chr10,14.883,3.689,ALDH18A1,ENSG00000059573.9_4
chr3,4.648,3.689,EPHA3,ENSG00000044524.11_3
chr2,3.682,3.689,CALM2,ENSG00000143933.18_6
chr16,3.323,3.689,MBTPS1,ENSG00000140943.17_5
chr19,29.599,3.688,RPL18,ENSG00000063177.13_6
chr1,34.902,3.687,DHCR24,ENSG00000116133.13_5
chr5,22.961,3.686,HNRNPA0,ENSG00000177733.7_4
chr4,6.952,3.685,ADGRA3,ENSG00000152990.14_5
chr1,13.394,3.685,PARP1,ENSG00000143799.13_4
chr17,10.524,3.685,P4HB,ENSG00000185624.15_4
chr11,71.612,3.683,EEF1G,ENSG00000254772.10_5
chr19,10.662,3.682,PRKACA,ENSG00000072062.14_4
chr6,47.463,3.681,H3C2,ENSG00000286522.1_2
chr16,4.818,3.68,NAGPA,ENSG00000103174.13_6
chr8,57.598,3.68,RPL8,ENSG00000161016.17_6
chr16,4.818,3.68,ABCA3,ENSG00000167972.14_6
chr2,9.311,3.678,STARD7,ENSG00000084090.13_6
chr14,6.879,3.677,MAX,ENSG00000125952.20_7
chr5,10.726,3.675,HMGCR,ENSG00000113161.16_4
chr12,5.258,3.674,RPS3P6,ENSG00000213363.4_2
chr15,10.139,3.672,HACD3,ENSG00000074696.13_4
chr8,6.27,3.672,MTDH,ENSG00000147649.10_5
chr17,50.476,3.672,ACTG1,ENSG00000184009.12_8
chr19,5.441,3.672,SAE1,ENSG00000142230.13_5
chr17,3.357,3.672,TMEM104,ENSG00000109066.14_3
chr3,6.362,3.672,SRPRB,ENSG00000144867.12_5
chr17,3.607,3.672,TMEM97,ENSG00000109084.14_4
chr6,8.331,3.672,IFNGR1,ENSG00000027697.14_7
chr3,5.593,3.672,ATP11B,ENSG00000058063.16_5
chr17,70.931,3.671,RPS7P1,ENSG00000263266.2_2
chr1,39.486,3.669,ENO1,ENSG00000074800.16_8
chr6,14.914,3.669,RPL15P3,ENSG00000212802.4_2
chr1,8.01,3.668,MANEAL,ENSG00000185090.14_3
chr22,6.005,3.668,MIEF1,ENSG00000100335.15_7
chr1,17.122,3.667,SLC16A1,ENSG00000155380.11_8
chr14,7.389,3.663,PSMB5,ENSG00000100804.19_5
chr6,16.155,3.663,CD164,ENSG00000135535.17_6
chr1,8.01,3.663,GALNT2,ENSG00000143641.10_3
chr11,3.323,3.661,PTPMT1,ENSG00000110536.14_4
chr1,12.308,3.661,PABPC4,ENSG00000090621.14_7
chr3,33.031,3.66,CTNNB1,ENSG00000168036.18_8
chr6,11.086,3.66,H3C1,ENSG00000275714.1_3
chr7,9.807,3.659,CHCHD3|AC008038.1,ENSG00000106554.13_6||ENSG00000283041.1_5
chr5,7.389,3.659,LMAN2,ENSG00000169223.15_6
chr1,7.211,3.659,ATP6V0B,ENSG00000117410.14_4
chr3,24.595,3.657,CTNNB1,ENSG00000168036.18_8
chr3,15.454,3.657,CTNNB1,ENSG00000168036.18_8
chr15,13.394,3.656,TMED3,ENSG00000166557.13_4
chr11,9.475,3.656,RBM14,ENSG00000239306.4_3
chr19,9.6,3.656,AC008878.3|ARHGEF18,ENSG00000268861.7_7||ENSG00000104880.18_4
chr3,21.131,3.655,RPSA,ENSG00000168028.14_4
chr8,13.131,3.653,PABPC1,ENSG00000070756.16_7
chr15,17.565,3.653,HACD3,ENSG00000074696.13_4
chr10,9.225,3.652,ECHS1,ENSG00000127884.5_4
chr19,39.321,3.651,RPL18,ENSG00000063177.13_6
chr11,6.005,3.65,B4GAT1,ENSG00000174684.7_4
chr5,4.217,3.65,MGAT1,ENSG00000131446.16_7
chr13,6.005,3.65,IRS2,ENSG00000185950.9_4
chr12,8.886,3.65,RPLP0,ENSG00000089157.16_6
chr3,3.213,3.65,ABHD14A-ACY1|ACY1,ENSG00000114786.16_7||ENSG00000243989.9_4
chr13,4.217,3.65,TM9SF2,ENSG00000125304.10_5
chr16,19.18,3.649,ARL6IP1,ENSG00000170540.15_5
chr10,3.808,3.647,PPIF,ENSG00000108179.14_3
chr5,43.748,3.646,CANX,ENSG00000127022.15_7
chr8,7.985,3.646,SLC39A14,ENSG00000104635.14_6
chr21,5.593,3.643,RCAN1,ENSG00000159200.18_4
chr5,16.402,3.643,MFAP3,ENSG00000037749.12_4
chr8,7.486,3.643,CNOT7,ENSG00000198791.12_4
chr2,4.374,3.642,ODC1,ENSG00000115758.13_8
chr20,4.299,3.639,RNF114,ENSG00000124226.11_4
chr6,14.64,3.639,TCP1,ENSG00000120438.12_5
chr22,3.607,3.639,NF2,ENSG00000186575.18_4
chr16,3.828,3.639,EMP2,ENSG00000213853.10_5
chr12,7.804,3.639,SLC6A15,ENSG00000072041.17_5
chr5,4.924,3.639,AC026403.1,ENSG00000229119.3_5
chr19,7.515,3.638,MEGF8,ENSG00000105429.13_4
chr19,63.405,3.637,EEF2,ENSG00000167658.16_4
chr3,16.643,3.637,DAG1,ENSG00000173402.12_7
chr12,7.226,3.635,DAZAP2,ENSG00000183283.16_3
chr10,10.471,3.634,NHP2P1,ENSG00000105988.6_4
chr6,15.176,3.633,TXNDC5,ENSG00000239264.9_5
chr8,5.593,3.633,TNFRSF10D,ENSG00000173530.6_4
chr12,18.508,3.632,PPP1CC,ENSG00000186298.12_5
chr21,6.993,3.631,SUMO3,ENSG00000184900.15_3
chrX,3.918,3.631,SLC9A6,ENSG00000198689.11_5
chr8,5.06,3.631,DERL1,ENSG00000136986.10_4
chr7,4.263,3.627,TMEM248,ENSG00000106609.16_4
chr17,4.263,3.627,TMEM101,ENSG00000091947.10_5
chr10,5.72,3.627,GHITM,ENSG00000165678.21_4
chr15,46.934,3.626,HACD3,ENSG00000074696.13_4
chr17,8.095,3.626,CPD,ENSG00000108582.12_7
chr18,12.514,3.625,DSC3,ENSG00000134762.17_7
chr5,11.482,3.625,AC034207.1,ENSG00000249921.2_5
chr22,63.65,3.625,AP000350.4|MIF,ENSG00000251357.4_6||ENSG00000240972.2_5
chr3,14.267,3.624,CRTAP,ENSG00000170275.15_4
chr3,5.257,3.624,GPR27,ENSG00000170837.3_3
chr19,6.828,3.623,PRDX2,ENSG00000167815.12_5
chr15,54.771,3.622,SNORD18B|RPL4,ENSG00000202529.1||ENSG00000174444.15_5
chr13,8.212,3.621,SLC7A1,ENSG00000139514.13_5
chr11,8.212,3.621,TUBAP2,ENSG00000214391.3_4
chr1,4.217,3.621,LAMC1,ENSG00000135862.6_3
chr11,22.117,3.62,CD81,ENSG00000110651.11_5
chr19,65.966,3.62,RPS19,ENSG00000105372.8_6
chr3,7.515,3.618,MCM2,ENSG00000073111.14_5
chr17,8.32,3.615,CLTC,ENSG00000141367.12_5
chr15,3.938,3.612,HMG20A,ENSG00000140382.15_6
chr16,3.938,3.612,ARHGAP17,ENSG00000140750.17_7
chr3,3.029,3.612,SUMF1,ENSG00000144455.14_5
chr3,6.295,3.609,CD47,ENSG00000196776.16_5
chr17,23.033,3.605,ACTG1,ENSG00000184009.12_8
chr12,6.177,3.605,SLC6A15,ENSG00000072041.17_5
chr5,10.873,3.605,FAF2,ENSG00000113194.13_4
chr11,21.574,3.604,SNORD15B,ENSG00000207445.1
chr8,4.924,3.604,VDAC3,ENSG00000078668.14_6
chr1,9.265,3.604,GLUL,ENSG00000135821.18_5
chr3,4.818,3.604,AC144530.1,ENSG00000234742.1_2
chr3,8.897,3.604,MCM2,ENSG00000073111.14_5
chrX,7.404,3.604,GLA,ENSG00000102393.11_4
chr8,8.212,3.604,PTDSS1,ENSG00000156471.13_3
chr10,4.217,3.604,MINPP1,ENSG00000107789.16_3
chr2,9.26,3.604,BZW1,ENSG00000082153.18_5
chr17,3.04,3.604,RETREG3,ENSG00000141699.11_8
chr9,3.588,3.604,SNORD90,ENSG00000212447.1
chr7,3.682,3.604,FAM126A,ENSG00000122591.12_6
chr1,3.607,3.604,NRAS,ENSG00000213281.5_4
chr12,7.12,3.604,ADIPOR2,ENSG00000006831.10_3
chr1,44.978,3.603,ATP1A1,ENSG00000163399.16_4
chr17,37.894,3.601,ACTG1,ENSG00000184009.12_8
chr3,7.877,3.599,GLB1,ENSG00000170266.16_5
chr12,41.78,3.599,TMBIM6,ENSG00000139644.13_8
chr12,22.92,3.598,CD63,ENSG00000135404.11_5
chr12,24.657,3.598,RPS2P5,ENSG00000240342.3_4
chr8,5.931,3.598,RPL5P23,ENSG00000240395.1_4
chr5,3.305,3.598,PCDHGA11|PCDHGB3|PCDHGA12|PCDHGB4|PCDHGA1|PCDHGA8|PCDHGB7|PCDHGB1|PCDHGA10|PCDHGA3|PCDHGA7|PCDHGC3|PCDHGC4|PCDHGA4|PCDHGB2|PCDHGA9|PCDHGB6|PCDHGC5|PCDHGA6|PCDHGB5|PCDHGA5|PCDHGA2,ENSG00000254122.2_3||ENSG00000253873.6_6||ENSG00000242419.5_4||ENSG00000253537.3_5||ENSG00000253485.2_4||ENSG00000240764.3_3||ENSG00000262209.3_5||ENSG00000253910.2_4||ENSG00000253305.2_3||ENSG00000254245.2_3||ENSG00000276547.1_3||ENSG00000240184.7_5||ENSG00000253953.2_4||ENSG00000261934.2_3||ENSG00000204956.5_3||ENSG00000253767.2_4||ENSG00000254221.2_3||ENSG00000253731.2_4||ENSG00000253846.2_3||ENSG00000253159.3_4||ENSG00000081853.15_4||ENSG00000262576.3_4
chr11,400.0,3.597,EEF1G,ENSG00000254772.10_5
chr1,7.708,3.597,PHGDH,ENSG00000092621.12_4
chr1,6.485,3.596,EIF3I,ENSG00000084623.11_2
chr16,16.936,3.595,ARL6IP1,ENSG00000170540.15_5
chr1,32.532,3.594,ATP1A1,ENSG00000163399.16_4
chr17,5.118,3.593,TMEM104,ENSG00000109066.14_3
chr17,6.61,3.591,TMEM97,ENSG00000109084.14_4
chr17,39.471,3.591,ACTG1,ENSG00000184009.12_8
chr6,13.689,3.591,COX7A2,ENSG00000112695.11_6
chr11,14.901,3.588,GANAB,ENSG00000089597.18_5
chr6,13.423,3.588,TXNDC5,ENSG00000239264.9_5
chr11,13.463,3.588,FADS1,ENSG00000149485.19_5
chr1,9.734,3.588,ARID1A,ENSG00000117713.20_6
chr8,54.794,3.587,RPL8,ENSG00000161016.17_6
chr9,3.619,3.587,TMEM38B,ENSG00000095209.12_7
chr19,3.264,3.587,AC022149.1,ENSG00000269378.1_5
chr6,3.264,3.587,ELOVL2,ENSG00000197977.4_4
chr8,3.952,3.585,PTDSS1,ENSG00000156471.13_3
chr2,3.105,3.585,CNNM4,ENSG00000158158.12_3
chrX,6.177,3.585,HS6ST2,ENSG00000171004.18_5
chr1,8.446,3.585,NID1,ENSG00000116962.15_4
chr12,9.6,3.584,DYNLL1,ENSG00000088986.11_5
chr6,9.089,3.584,AL135905.2|PTP4A1,ENSG00000285976.2_3||ENSG00000112245.12_5
chr13,6.792,3.583,DIS3,ENSG00000083520.15_4
chr8,3.323,3.583,DERL1,ENSG00000136986.10_4
chr19,28.425,3.582,PTBP1,ENSG00000011304.20_7
chr1,17.225,3.581,NDC1,ENSG00000058804.12_4
chr20,7.017,3.58,POFUT1,ENSG00000101346.14_4
chr15,13.101,3.58,HACD3,ENSG00000074696.13_4
chr3,6.952,3.579,FLNB,ENSG00000136068.14_5
chr17,6.005,3.579,VMP1,ENSG00000062716.13_4
chr3,15.176,3.578,SRPRB,ENSG00000144867.12_5
chr4,5.87,3.577,HSPD1P5,ENSG00000249193.1_2
chr4,5.87,3.577,HSPD1P5,ENSG00000249193.1_2
chr5,7.404,3.577,MGAT1,ENSG00000131446.16_7
chr13,25.774,3.576,SLC7A1,ENSG00000139514.13_5
chr22,3.264,3.576,IL17RA,ENSG00000177663.14_3
chr19,4.818,3.576,UHRF1,ENSG00000276043.5_6
chr19,53.469,3.575,RPS16,ENSG00000105193.9_4
chr8,8.095,3.574,NDUFB9,ENSG00000147684.9_4
chr10,5.258,3.573,MINPP1,ENSG00000107789.16_3
chr2,3.682,3.573,CNNM4,ENSG00000158158.12_3
chr20,33.936,3.571,RPS21,ENSG00000171858.18_3
chr12,11.797,3.571,SLC25A3,ENSG00000075415.12_7
chr8,9.311,3.569,LAPTM4B,ENSG00000104341.17_5
